entity_id,friendly_name,domain,area_id,area_name,state,suggested_usage,reason
binary_sensor.nursery_cry_sound,Nursery cry sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_scream_sound,Nursery scream sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_speech_sound,Nursery speech sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_yell_sound,Nursery yell sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.pantry_door,Pantry door,binary_sensor,kitchen,Kitchen,off,map,MAP: Show door/window open/closed state
binary_sensor.rain_man_connectivity,Rain man Connectivity,binary_sensor,,,on,map,MAP: Show state indicator
binary_sensor.remote_ui,Remote UI,binary_sensor,,,on,map,MAP: Show state indicator
binary_sensor.right_backyard_watering,Right backyard Watering,binary_sensor,patio,patio,off,map,MAP: Show state indicator
binary_sensor.right_side_watering,Right side Watering,binary_sensor,,,off,map,MAP: Show state indicator
binary_sensor.sean_bathroom_door,Sean Bathroom Door,binary_sensor,bathroom,Bathroom,on,map,MAP: Show door/window open/closed state
binary_sensor.sean_crying,Sean Crying,binary_sensor,,,unknown,map,MAP: Highlight room when sound detected
binary_sensor.sean_bathroom_closet_door,Sean bathroom closet door,binary_sensor,bathroom,Bathroom,off,map,MAP: Show door/window open/closed state
binary_sensor.sean_room_closet_door,Sean room closet door ,binary_sensor,bedroom,Bedroom,on,map,MAP: Show door/window open/closed state
binary_sensor.baby_noise_15,baby_noise_-15,binary_sensor,,,unavailable,map,MAP: Highlight room when sound detected
binary_sensor.baby_noise_5,baby_noise_-5,binary_sensor,,,unavailable,map,MAP: Highlight room when sound detected
binary_sensor.living_noise_15,living_noise_-15,binary_sensor,,,unavailable,map,MAP: Highlight room when sound detected
binary_sensor.living_noise_5,living_noise_-5,binary_sensor,,,unavailable,map,MAP: Highlight room when sound detected
binary_sensor.nursery_noise_15,nursery_noise_-15,binary_sensor,,,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_noise_5,nursery_noise_-5,binary_sensor,,,off,map,MAP: Highlight room when sound detected
camera.entry,Entry,camera,entry,Entry,recording,both,MAP: Show camera icon | CONTROL: View feed/snapshot
camera.front,Front,camera,entry,Entry,recording,both,MAP: Show camera icon | CONTROL: View feed/snapshot
camera.garagecam,Garagecam,camera,garage,Garage,unavailable,both,MAP: Show camera icon | CONTROL: View feed/snapshot
camera.living,Living,camera,living_room,Living Room,recording,both,MAP: Show camera icon | CONTROL: View feed/snapshot
camera.nursery,Nursery,camera,nursery,Nursery,recording,both,MAP: Show camera icon | CONTROL: View feed/snapshot
climate.guest_thermostat,Guest thermostat,climate,guest_room,Guest room,heat,both,MAP: Show current temp on room | CONTROL: Thermostat settings
climate.nursery_thermostat,Nursery Thermostat,climate,nursery,Nursery,heat,both,MAP: Show current temp on room | CONTROL: Thermostat settings
climate.office_heater,Office heater,climate,office,Office,off,both,MAP: Show current temp on room | CONTROL: Thermostat settings
cover.main,Main,cover,,,closed,both,MAP: Show open/closed state | CONTROL: Open/close/stop
cover.second_door,Second Door,cover,,,open,both,MAP: Show open/closed state | CONTROL: Open/close/stop
fan.game_room_fan,Game room fan ,fan,living_room,Living Room,on,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.sonoff_1001f721e0,Guest 2 fan,fan,guest_room,Guest room,unavailable,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.sonoff_1001f72743,Guest 3 fan,fan,guest_room,Guest room,unavailable,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.guest_fan,Guest fan ,fan,guest_room,Guest room,off,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.sonoff_1001f72185,Living room fan,fan,living_room,Living Room,unavailable,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.living_room_fan,Living room fan ,fan,living_room,Living Room,on,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.sonoff_1001f724be,Master fan ,fan,master,Master,unavailable,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.master_fan,Master fan ,fan,master,Master,off,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.sonoff_1001f721db,Nursery fan,fan,nursery,Nursery,unavailable,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.nursery_fan,Nursery fan ,fan,nursery,Nursery,on,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
fan.sean_fan,Sean fan ,fan,bedroom,Bedroom,off,both,"MAP: Show spinning icon when on | CONTROL: Toggle, speed"
light.living_room_dimmer,,light,living_room,Living Room,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.bathroom_lights,Bathroom lights,light,bathroom,Bathroom,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.breakfast_dimmer,Breakfast dimmer ,light,kitchen,Kitchen,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.dining_room_dimmer,Dining room dimmer ,light,dining,Dining,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.entry_dimmer,Entry Dimmer ,light,entry,Entry,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
